Date,Time,"Nitrogen dioxide",Status
2024-01-09,17:00:00,27.1092,V ugm-3
2024-01-09,18:00:00,32.66646,V ugm-3
2024-01-09,19:00:00,44.35195,V ugm-3
2024-01-09,20:00:00,37.60046,V ugm-3
2024-01-09,21:00:00,20.41016,V ugm-3
2024-01-09,22:00:00,14.02237,V ugm-3
2024-01-09,23:00:00,11.99684,V ugm-3
2024-01-09,24:00:00,9.60789,V ugm-3
2024-01-10,01:00:00,10.32015,V ugm-3
2024-01-10,02:00:00,10.04318,V ugm-3
2024-01-10,03:00:00,12.83106,V ugm-3
2024-01-10,04:00:00,11.89591,V ugm-3
2024-01-10,05:00:00,19.01258,V ugm-3
2024-01-10,06:00:00,20.20603,V ugm-3
2024-01-10,07:00:00,21.19416,V ugm-3
2024-01-10,08:00:00,63.46069,V ugm-3
2024-01-10,09:00:00,68.33335,V ugm-3
2024-01-10,10:00:00,72.71999,V ugm-3
2024-01-10,11:00:00,66.04779,V ugm-3
2024-01-10,12:00:00,50.9489,V ugm-3
2024-01-10,13:00:00,18.75167,V ugm-3
2024-01-10,14:00:00,17.34793,V ugm-3
2024-01-10,15:00:00,11.58349,V ugm-3
2024-01-10,16:00:00,12.10314,V ugm-3
2024-01-10,17:00:00,13.9213,V ugm-3
2024-01-10,18:00:00,15.32371,V ugm-3
2024-01-10,19:00:00,17.29819,V ugm-3
2024-01-10,20:00:00,19.01081,V ugm-3
2024-01-10,21:00:00,11.73994,V ugm-3
2024-01-10,22:00:00,8.10362,V ugm-3
2024-01-10,23:00:00,10.0776,V ugm-3
2024-01-10,24:00:00,8.93481,V ugm-3
2024-01-11,01:00:00,5.68091,V ugm-3
2024-01-11,02:00:00,3.94893,V ugm-3
2024-01-11,03:00:00,3.84503,V ugm-3
2024-01-11,04:00:00,3.58527,V ugm-3
2024-01-11,05:00:00,3.32537,V ugm-3
2024-01-11,06:00:00,4.72828,V ugm-3
2024-01-11,07:00:00,11.69093,V ugm-3
2024-01-11,08:00:00,19.64001,V ugm-3
2024-01-11,09:00:00,36.10853,V ugm-3
2024-01-11,10:00:00,55.11932,V ugm-3
2024-01-11,11:00:00,63.86861,V ugm-3
2024-01-11,12:00:00,28.41729,V ugm-3
2024-01-11,13:00:00,18.13175,V ugm-3
2024-01-11,14:00:00,19.63915,V ugm-3
2024-01-11,15:00:00,19.17178,V ugm-3
2024-01-11,16:00:00,26.18669,V ugm-3
2024-01-11,17:00:00,33.98044,V ugm-3
2024-01-11,18:00:00,42.1351,V ugm-3
2024-01-11,19:00:00,62.90712,V ugm-3
2024-01-11,20:00:00,67.93586,V ugm-3
2024-01-11,21:00:00,49.76935,V ugm-3
2024-01-11,22:00:00,45.71549,V ugm-3
2024-01-11,23:00:00,31.63857,V ugm-3
2024-01-11,24:00:00,34.23793,V ugm-3
2024-01-12,01:00:00,28.06352,V ugm-3
2024-01-12,02:00:00,24.11437,V ugm-3
2024-01-12,03:00:00,44.32799,V ugm-3
2024-01-12,04:00:00,34.55986,V ugm-3
2024-01-12,05:00:00,12.21323,V ugm-3
2024-01-12,06:00:00,11.48514,V ugm-3
2024-01-12,07:00:00,17.3035,V ugm-3
2024-01-12,08:00:00,14.96466,V ugm-3
2024-01-12,09:00:00,22.44372,V ugm-3
2024-01-12,10:00:00,43.06918,V ugm-3
2024-01-12,11:00:00,31.27606,V ugm-3
2024-01-12,12:00:00,25.87393,V ugm-3
2024-01-12,13:00:00,27.7962,V ugm-3
2024-01-12,14:00:00,31.48552,V ugm-3
2024-01-12,15:00:00,31.89859,V ugm-3
2024-01-12,16:00:00,26.7039,V ugm-3
2024-01-12,17:00:00,27.64193,V ugm-3
2024-01-12,18:00:00,26.55143,V ugm-3
2024-01-12,19:00:00,22.75928,V ugm-3
2024-01-12,20:00:00,22.136,V ugm-3
2024-01-12,21:00:00,27.69511,V ugm-3
2024-01-12,22:00:00,18.91446,V ugm-3
2024-01-12,23:00:00,13.35443,V ugm-3
2024-01-12,24:00:00,14.54896,V ugm-3
2024-01-13,01:00:00,10.18766,V ugm-3
2024-01-13,02:00:00,7.48542,V ugm-3
2024-01-13,03:00:00,4.36639,V ugm-3
2024-01-13,04:00:00,4.26254,V ugm-3
2024-01-13,05:00:00,4.05401,V ugm-3
2024-01-13,06:00:00,10.4486,V ugm-3
2024-01-13,07:00:00,15.80228,V ugm-3
2024-01-13,08:00:00,22.87118,V ugm-3
2024-01-13,09:00:00,45.68696,V ugm-3
2024-01-13,10:00:00,60.95288,V ugm-3
2024-01-13,11:00:00,51.97188,V ugm-3
2024-01-13,12:00:00,42.66758,V ugm-3
2024-01-13,13:00:00,30.76647,V ugm-3
2024-01-13,14:00:00,34.24459,V ugm-3
2024-01-13,15:00:00,30.08711,V ugm-3
2024-01-13,16:00:00,35.48956,V ugm-3
2024-01-13,17:00:00,47.39061,V ugm-3
2024-01-13,18:00:00,47.55058,V ugm-3
2024-01-13,19:00:00,54.30916,V ugm-3
2024-01-13,20:00:00,68.39041,V ugm-3
2024-01-13,21:00:00,57.58775,V ugm-3
2024-01-13,22:00:00,65.06781,V ugm-3
2024-01-13,23:00:00,79.45647,V ugm-3
2024-01-13,24:00:00,71.47799,V ugm-3
2024-01-14,01:00:00,78.28736,V ugm-3
2024-01-14,02:00:00,65.30296,V ugm-3
2024-01-14,03:00:00,60.6188,V ugm-3
2024-01-14,04:00:00,52.42859,V ugm-3
2024-01-14,05:00:00,50.77654,V ugm-3
2024-01-14,06:00:00,47.66683,V ugm-3
2024-01-14,07:00:00,48.74365,V ugm-3
2024-01-14,08:00:00,45.8371,V ugm-3
2024-01-14,09:00:00,53.32518,V ugm-3
