Place Code,Intermediate Zone,Local Authority,Local Authority (code),Population ,Working Age population,Average distance to nearest park or public garden (m),Median distance to nearest park or public garden (m),Average size of nearest park or public garden (m2),Median size of nearest park or public garden (m2),"Average number of parks and public gardens in 1,000 m radius","Median number of parks and public gardens in 1,000 m radius","Average combined size of parks and public gardens in 1,000 m radius (m2)","Median combined size of parks and public gardens in 1,000 m radius (m2)",Average population per park or public garden,Median population per park or public garden,Number of flats in rural and built up areas,Number of flats in rural and built up areas with gardens,Average garden size for flats in built up area,Number of houses in rural and built up area,Number of houses in rural and built up area with gardens,Average garden size for houses in rural and built up area ,SIMD2020 Rank,SIMD2020 Quintile,SIMD2020 Health Domain Rank,Alcohol Hospital visits ratio,Drug hospital visits ratio,Depression (%),Crime Rate,Overcrowded rate,Drive to secondary,Urban or Rural
S01010964,Straiton,Midlothian,S12000019,497,260,506.98,519.39,28834.50,28834.50,1.93,2,40277.71,41158,8660.99,8660.99,0,0.00,0.00,223,223,181.24,3832,3,4211,56.50,0.00,19.09%,325.24,4.97%,8.20,URBAN
S01010965,Straiton,Midlothian,S12000019,533,336,299.85,284.88,28834.50,28834.50,1.00,1,28834.00,28834,8660.99,8660.99,189,167.52,416.87,48,48,259.30,1156,1,1929,45.68,29.19,23.46%,561.64,15.47%,8.29,URBAN
S01010966,Loanhead,Midlothian,S12000019,723,433,157.81,147.72,28834.50,28834.50,1.00,1,28834.00,28834,8660.99,8660.99,174,144.22,315.34,147,146,209.18,2938,3,2347,79.25,213.39,20.69%,194.88,11.26%,8.32,URBAN
S01010967,Loanhead,Midlothian,S12000019,695,461,155.82,151.33,28834.50,28834.50,1.08,1,29861.00,28834,8660.99,8660.99,156,129.30,315.34,167,163,203.10,2201,2,2430,63.74,64.56,21.39%,223.69,21.52%,8.06,URBAN
S01010968,Loanhead,Midlothian,S12000019,727,432,367.83,362.61,28146.57,28834.50,1.54,2,35509.50,41158,8363.25,8660.99,94,77.91,315.34,257,250,218.45,3903,3,3896,89.92,45.06,20.94%,317.14,6.29%,7.59,URBAN
S01010969,Loanhead,Midlothian,S12000019,638,341,533.36,532.17,22890.76,28834.50,1.92,2,50631.56,41158,6088.46,8660.99,72,59.68,315.34,207,203,276.59,2807,3,2084,225.48,96.18,28.02%,97.88,8.55%,6.92,URBAN
S01010970,Loanhead,Midlothian,S12000019,1050,659,569.71,544.94,27708.79,28834.50,1.02,1,33931.30,28834,8173.77,8660.99,176,145.88,315.34,326,320,321.58,3502,3,3219,49.91,57.97,19.20%,165.24,10.47%,7.23,URBAN
S01010971,Bonnyrigg South,Midlothian,S12000019,1067,648,1330.99,1388.86,21798.66,21798.66,1.00,1,21798.00,21798,13699.63,13699.63,30,26.67,439.50,387,383,251.11,4492,4,4521,65.82,46.94,14.64%,98.04,6.91%,3.98,URBAN
S01010972,Bonnyrigg South,Midlothian,S12000019,816,543,1164.24,1135.57,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,60,53.33,439.50,278,278,108.42,1557,2,2081,96.77,160.04,23.85%,243.93,10.28%,4.75,URBAN
S01010973,Bonnyrigg South,Midlothian,S12000019,485,284,1160.89,1214.20,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,0,0.00,0.00,208,208,106.07,3845,3,3985,34.54,0.00,18.05%,125.45,8.16%,3.63,URBAN
S01010974,Bonnyrigg South,Midlothian,S12000019,651,391,891.24,896.12,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,2,1.78,439.50,304,304,200.53,1969,2,2495,53.84,209.70,21.00%,160.08,14.08%,3.06,URBAN
S01010975,Bonnyrigg South,Midlothian,S12000019,483,323,725.16,738.88,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,73,64.89,439.50,144,143,187.71,1689,2,1204,88.90,61.81,24.19%,292.72,21.63%,3.29,URBAN
S01010976,Bonnyrigg South,Midlothian,S12000019,531,297,767.56,762.57,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,13,11.56,439.50,202,202,169.27,3107,3,2236,107.71,93.07,28.85%,93.14,13.05%,4.46,URBAN
S01010977,Bonnyrigg South,Midlothian,S12000019,685,464,322.44,303.74,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,38,33.78,439.50,280,279,184.41,3264,3,2768,128.04,98.94,21.40%,146.57,12.21%,4.12,URBAN
S01010978,Bonnyrigg North,Midlothian,S12000019,756,487,245.24,238.49,14762.83,14762.83,1.27,1,16933.18,14762,18738.27,18738.27,178,165.06,334.40,187,185,214.21,1879,2,2265,132.53,41.34,18.73%,510.29,14.61%,3.92,URBAN
S01010979,Bonnyrigg North,Midlothian,S12000019,881,558,667.28,605.35,14762.83,14762.83,1.17,1,16088.83,14762,18738.27,18738.27,66,61.20,334.40,266,266,224.80,2270,2,2233,97.11,86.57,19.53%,165.82,13.82%,2.51,URBAN
S01010980,Bonnyrigg North,Midlothian,S12000019,724,447,190.97,192.72,14762.83,14762.83,1.88,2,21804.42,22723,18738.27,18738.27,106,98.29,334.40,256,253,196.39,1970,2,1898,181.79,143.59,23.33%,808.45,7.57%,4.75,URBAN
S01010981,Bonnyrigg North,Midlothian,S12000019,696,388,508.96,495.10,12747.44,14762.83,1.96,2,22428.15,22723,14466.38,18738.27,170,157.64,334.40,192,185,324.64,2276,2,2139,122.81,129.46,21.65%,574.90,12.45%,3.36,URBAN
S01010982,Bonnyrigg North,Midlothian,S12000019,1290,684,908.76,857.82,9085.64,7960.89,1.27,1,12463.19,10936,4820.41,4320.63,95,88.09,334.40,355,345,767.90,4453,4,3691,64.58,46.37,18.58%,241.25,5.73%,4.54,URBAN
S01010983,Bonnyrigg North,Midlothian,S12000019,724,457,365.57,390.52,9220.51,7960.89,2.00,2,22723.00,22723,6990.57,4320.63,129,119.62,334.40,266,263,230.09,3372,3,2908,76.01,70.08,23.05%,211.09,8.21%,4.82,URBAN
S01010984,Bonnyrigg North,Midlothian,S12000019,656,349,258.46,270.15,7960.89,7960.89,1.87,2,20797.39,22723,4320.63,4320.63,40,37.09,334.40,268,268,357.10,5013,4,5127,15.46,58.22,17.20%,137.83,6.79%,5.65,URBAN
S01010985,Newbattle and Dalhousie,Midlothian,S12000019,636,370,413.06,409.36,12042.05,14762.83,2.00,2,22723.00,22723,12971.22,18738.27,101,92.81,354.49,144,144,291.01,4062,3,3545,44.55,24.34,17.76%,86.38,11.76%,5.40,URBAN
S01010986,Newbattle and Dalhousie,Midlothian,S12000019,566,371,308.90,284.91,14762.83,14762.83,1.57,2,19311.14,22723,18738.27,18738.27,0,0.00,0.00,183,182,208.16,5935,5,6114,105.84,69.77,11.94%,125.60,5.21%,6.87,URBAN
S01010987,Newbattle and Dalhousie,Midlothian,S12000019,656,451,519.54,522.50,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,1,0.92,354.49,220,220,248.03,6438,5,6111,5.83,0.00,12.35%,47.07,0.76%,6.72,URBAN
S01010988,Newbattle and Dalhousie,Midlothian,S12000019,610,416,763.87,752.15,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,0,0.00,0.00,205,205,256.80,6713,5,6817,18.64,0.00,11.49%,*,1.75%,6.80,URBAN
S01010989,Newbattle and Dalhousie,Midlothian,S12000019,1258,866,620.55,642.49,14762.83,14762.83,1.00,1,14762.00,14762,18738.27,18738.27,104,95.57,354.49,304,304,180.52,6382,5,6795,25.87,0.00,11.47%,174.35,3.82%,6.97,URBAN
S01010990,Newbattle and Dalhousie,Midlothian,S12000019,787,481,141.69,127.70,14762.83,14762.83,1.11,1,15614.96,14762,18738.27,18738.27,14,12.86,354.49,311,311,133.44,3058,3,2910,67.59,241.65,17.99%,282.44,8.27%,5.71,URBAN
S01010991,Newbattle and Dalhousie,Midlothian,S12000019,2753,1598,625.39,562.27,21767.63,14762.83,1.03,1,22641.77,14762,16858.49,18738.27,154,141.51,354.49,800,727,216.72,4959,4,5376,56.13,12.83,14.95%,164.14,6.31%,6.85,URBAN
S01010992,Newbattle and Dalhousie,Midlothian,S12000019,619,415,727.45,763.67,71303.91,75242.52,1.08,1,73152.69,75242,9649.54,10222.88,4,3.68,354.49,186,183,331.26,5608,5,6288,26.20,81.33,10.05%,67.07,3.09%,7.85,URBAN
S01010993,Newbattle and Dalhousie,Midlothian,S12000019,570,395,227.32,160.08,75242.52,75242.52,1.00,1,75242.00,75242,10222.88,10222.88,29,26.65,354.49,235,228,237.34,4189,4,4452,69.31,26.41,16.24%,278.30,4.75%,6.86,URBAN
S01010994,Eskbank,Midlothian,S12000019,1558,951,720.61,940.77,129761.44,46649.38,1.44,1,531822.67,75242,5894.04,4111.18,139,99.10,395.50,390,384,302.73,5532,4,5226,19.07,20.19,16.10%,171.19,3.73%,7.22,URBAN
S01010995,Eskbank,Midlothian,S12000019,627,389,524.02,507.11,7960.89,7960.89,2.00,2,22723.00,22723,4320.63,4320.63,0,0.00,0.00,291,291,213.54,6737,5,6512,14.71,28.02,14.37%,126.48,1.95%,6.11,URBAN
S01010996,Eskbank,Midlothian,S12000019,517,313,809.14,794.73,27663.04,34558.80,1.67,2,55448.56,81208,4021.72,3917.11,59,42.06,395.50,182,179,243.69,5857,5,4913,13.09,29.09,15.81%,427.73,0.18%,7.59,URBAN
S01010997,Eskbank,Midlothian,S12000019,632,326,628.28,593.33,32430.96,34558.80,2.20,2,637233.00,81208,3949.39,3917.11,10,7.13,395.50,285,283,368.61,6723,5,6430,15.77,0.00,13.91%,80.42,2.20%,7.34,URBAN
S01010998,Eskbank,Midlothian,S12000019,710,421,444.73,428.22,40449.08,34558.80,2.21,2,659426.26,81208,4011.65,3917.11,50,35.65,395.50,225,218,669.70,6186,5,5259,56.31,26.62,15.96%,252.05,1.90%,8.11,URBAN
S01010999,Eskbank,Midlothian,S12000019,897,474,228.54,233.64,384857.71,34558.80,3.00,3,2900022.00,2900022,5375.45,3917.11,167,119.06,395.50,281,272,399.66,4984,4,4040,112.54,193.42,15.53%,238.26,5.98%,7.39,URBAN
S01011000,Shawfair,Midlothian,S12000019,1422,759,879.92,894.36,1361934.82,267150.10,1.44,1,1530005.84,2818814,9781.85,10370.65,255,218.18,432.86,550,467,430.28,3900,3,4110,50.51,27.91,16.78%,499.32,8.08%,6.53,URBAN
S01011001,Shawfair,Midlothian,S12000019,647,368,1430.03,1446.55,166416.31,19060.87,1.00,1,166415.47,19060,9158.84,8818.06,33,28.24,432.86,253,253,129.31,2721,2,2498,28.42,26.30,21.97%,297.18,14.77%,7.76,URBAN
S01011002,Shawfair,Midlothian,S12000019,729,443,1445.76,1429.73,56274.25,19060.87,1.00,1,56273.50,19060,9050.95,8818.06,86,73.58,432.86,234,232,199.78,2386,2,2314,120.95,23.60,20.11%,399.53,13.44%,7.12,URBAN
S01011003,Shawfair,Midlothian,S12000019,701,444,1213.58,1221.39,19060.87,19060.87,1.00,1,19060.00,19060,8818.06,8818.06,86,73.58,432.86,203,202,223.37,2930,3,3378,56.14,43.36,19.19%,377.83,13.81%,7.72,URBAN
S01011004,Shawfair,Midlothian,S12000019,656,419,1183.92,1214.93,101757.28,19060.87,1.00,1,101756.67,19060,9335.59,8818.06,11,9.41,432.86,248,248,190.17,4898,4,4467,22.73,45.85,14.90%,210.74,3.85%,6.27,URBAN
S01011005,Thornybank,Midlothian,S12000019,665,421,240.79,249.88,2818814.20,2818814.20,2.82,3,2893738.55,2900022,15292.73,15292.73,239,225.05,294.36,127,126,163.07,1554,2,2056,181.31,159.08,21.97%,740.61,11.21%,5.62,URBAN
S01011006,Thornybank,Midlothian,S12000019,1761,1057,430.89,315.31,2818814.20,2818814.20,1.04,1,2820679.96,2818814,15292.73,15292.73,229,215.64,294.36,489,480,220.89,2588,2,3637,95.47,66.54,18.53%,504.90,12.77%,4.41,URBAN
S01011007,Thornybank,Midlothian,S12000019,678,429,448.41,446.59,2818814.20,2818814.20,1.27,1,2831253.73,2818814,15292.73,15292.73,6,5.65,294.36,282,282,203.89,2217,2,2075,70.46,48.55,20.09%,259.56,17.25%,5.28,URBAN
S01011008,Thornybank,Midlothian,S12000019,730,437,707.12,701.26,2818814.20,2818814.20,1.00,1,2818814.00,2818814,15292.73,15292.73,100,94.16,294.36,246,246,148.34,1539,2,1663,102.69,119.53,21.67%,165.24,12.64%,5.15,URBAN
S01011009,Thornybank,Midlothian,S12000019,492,334,889.26,882.37,2818814.20,2818814.20,1.00,1,2818814.00,2818814,15292.73,15292.73,60,56.50,294.36,177,177,124.86,1402,2,1367,202.70,306.19,23.82%,209.94,17.32%,5.99,URBAN
S01011010,Dalkeith,Midlothian,S12000019,567,378,182.09,154.65,379309.16,46649.38,3.00,3,2900022.00,2900022,5452.96,4111.18,377,280.46,305.31,45,32,249.52,404,1,838,409.56,434.01,23.38%,1843.40,11.29%,6.78,URBAN
S01011011,Dalkeith,Midlothian,S12000019,819,518,269.27,251.92,2620802.43,2818814.20,3.00,3,2900022.00,2900022,14494.05,15292.73,416,309.48,305.31,58,53,268.45,336,1,734,144.35,226.66,26.24%,740.91,11.95%,6.08,URBAN
S01011012,Dalkeith,Midlothian,S12000019,675,439,447.91,466.31,2818814.20,2818814.20,2.00,2,2865463.00,2865463,15292.73,15292.73,313,232.85,305.31,13,13,221.15,207,1,396,249.81,538.82,25.19%,848.79,21.19%,5.79,URBAN
S01011013,Dalkeith,Midlothian,S12000019,804,461,738.04,733.33,2818814.20,2818814.20,1.31,1,2833291.28,2818814,15292.73,15292.73,7,5.21,305.31,390,388,165.46,2349,2,2551,57.29,125.56,21.05%,682.16,11.60%,5.48,URBAN
S01011014,Pathhead and Rural East Midlothian,Midlothian,S12000019,798,548,983.02,1053.67,1898045.52,2818814.20,1.33,1,2144608.58,2818814,13268.84,15292.73,109,94.11,469.60,260,260,141.55,3250,3,3673,101.94,171.07,20.15%,211.11,12.33%,5.28,URBAN
S01011015,Pathhead and Rural East Midlothian,Midlothian,S12000019,403,241,1068.18,1039.64,2360072.99,2818814.20,1.00,1,2360072.67,2818814,15132.43,15292.73,52,44.90,469.60,155,154,145.33,2468,2,2336,93.15,139.21,22.08%,201.38,11.96%,5.46,URBAN
S01011016,Pathhead and Rural East Midlothian,Midlothian,S12000019,1699,1127,1055.61,1051.35,2818814.20,2818814.20,1.00,1,2818814.00,2818814,15292.73,15292.73,101,87.21,469.60,479,476,235.13,4989,4,5925,30.42,40.36,12.52%,113.55,3.78%,4.66,URBAN
S01011017,Pathhead and Rural East Midlothian,Midlothian,S12000019,1421,894,1757.63,1599.40,975390.01,1032986.41,1.00,1,975389.49,1032986,8561.93,4937.87,65,56.12,469.60,499,483,509.53,2943,3,3645,51.62,135.65,17.32%,282.77,4.26%,7.35,URBAN
S01011018,Pathhead and Rural East Midlothian,Midlothian,S12000019,832,507,1137.97,1145.47,1032986.41,1032986.41,1.00,1,1032986.00,1032986,3213.59,3213.59,45,38.85,469.60,340,328,277.93,3424,3,4015,89.04,120.73,18.64%,197.02,10.00%,8.00,URBAN
S01011019,Pathhead and Rural East Midlothian,Midlothian,S12000019,1462,957,2187.81,1272.22,663008.83,1032986.41,1.07,1,664590.01,1032986,5672.98,3213.59,59,50.94,469.60,463,442,523.71,4076,3,5251,35.89,79.20,15.40%,189.07,5.92%,9.47,URBAN
S01011020,Pathhead and Rural East Midlothian,Midlothian,S12000019,826,469,2801.08,2624.54,168333.61,28761.55,1.00,1,168333.08,28761,8468.56,9889.08,23,19.86,469.60,352,269,461.10,6049,5,6540,39.73,20.98,10.91%,114.15,9.34%,10.73,URBAN
S01011021,Easthouses,Midlothian,S12000019,849,510,673.69,676.78,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,11,10.63,440.56,352,348,246.70,2039,2,2651,76.51,75.15,21.18%,374.52,16.10%,4.09,URBAN
S01011022,Easthouses,Midlothian,S12000019,583,364,443.16,419.61,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,36,34.80,440.56,209,209,177.19,1034,1,2692,64.96,51.57,22.30%,380.09,14.29%,3.51,URBAN
S01011023,Easthouses,Midlothian,S12000019,764,487,293.41,256.43,66366.93,66366.93,1.02,1,68157.50,66366,14330.94,14330.94,75,72.50,440.56,290,290,231.22,2160,2,2712,43.72,104.50,20.41%,399.16,9.48%,3.68,URBAN
S01011024,Easthouses,Midlothian,S12000019,803,479,367.80,351.75,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,58,56.07,440.56,249,249,185.19,1302,1,2350,119.54,100.58,16.97%,258.39,19.44%,3.61,URBAN
S01011025,Mayfield,Midlothian,S12000019,661,426,704.26,683.02,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,14,12.01,377.75,279,277,120.31,1418,2,1448,123.38,197.79,20.31%,241.63,22.35%,4.13,URBAN
S01011026,Mayfield,Midlothian,S12000019,535,322,747.98,763.89,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,0,0.00,0.00,245,245,108.36,1200,1,1155,89.40,350.85,21.44%,272.16,15.37%,4.20,URBAN
S01011027,Mayfield,Midlothian,S12000019,928,555,298.97,317.18,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,179,153.54,377.75,260,259,169.75,775,1,1292,194.46,112.42,22.64%,1115.47,12.72%,3.24,URBAN
S01011028,Mayfield,Midlothian,S12000019,981,603,354.66,383.15,66366.93,66366.93,1.26,1,86166.79,66366,14330.94,14330.94,116,99.50,377.75,330,327,159.24,1606,2,2253,151.16,344.36,19.14%,241.68,13.58%,3.25,URBAN
S01011029,Mayfield,Midlothian,S12000019,633,386,498.97,510.14,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,77,66.05,377.75,205,205,143.61,1635,2,2153,43.95,76.35,23.35%,311.45,11.87%,3.75,URBAN
S01011030,Mayfield,Midlothian,S12000019,855,595,788.85,786.39,66366.93,66366.93,1.00,1,66366.00,66366,14330.94,14330.94,57,48.89,377.75,322,322,184.03,3955,3,4350,39.99,48.63,16.65%,115.11,10.63%,4.47,URBAN
S01011031,Newtongrange,Midlothian,S12000019,960,552,405.58,403.73,71800.97,75242.52,1.96,2,138900.14,141609,11815.80,10222.88,121,113.19,397.82,244,244,201.52,2067,2,2392,161.54,112.65,19.15%,551.92,12.40%,3.99,URBAN
S01011032,Newtongrange,Midlothian,S12000019,789,521,239.28,205.58,75242.52,75242.52,1.68,2,120492.23,141609,10222.88,10222.88,259,242.29,397.82,105,105,258.97,2227,2,2170,262.80,112.96,22.18%,206.97,13.11%,4.62,URBAN
S01011033,Newtongrange,Midlothian,S12000019,637,421,174.63,178.20,75242.52,75242.52,1.58,2,113956.08,141609,10222.88,10222.88,0,0.00,0.00,280,280,186.71,3731,3,3568,54.83,161.56,18.71%,302.73,7.27%,5.40,URBAN
S01011034,Newtongrange,Midlothian,S12000019,619,385,99.17,84.31,75242.52,75242.52,1.00,1,75242.00,75242,10222.88,10222.88,46,43.03,397.82,293,291,158.04,2057,2,1718,104.12,51.33,24.32%,583.05,7.68%,5.83,URBAN
S01011035,Newtongrange,Midlothian,S12000019,625,421,322.94,311.20,75242.52,75242.52,1.00,1,75242.00,75242,10222.88,10222.88,0,0.00,0.00,255,255,159.73,2011,2,2410,119.88,25.61,20.42%,379.45,17.52%,6.02,URBAN
S01011036,Newtongrange,Midlothian,S12000019,594,418,549.45,537.09,75242.52,75242.52,1.04,1,76287.26,75242,10222.88,10222.88,70,65.48,397.82,227,224,244.57,2644,2,2227,110.93,293.56,22.20%,304.81,9.13%,6.09,URBAN
S01011037,North Gorebridge,Midlothian,S12000019,1069,620,406.39,353.28,25188.89,24040.53,2.41,3,65399.57,83298,4501.20,2769.39,259,246.07,312.21,198,180,202.23,1737,2,1794,163.45,73.07,20.22%,458.58,12.15%,6.36,URBAN
S01011038,North Gorebridge,Midlothian,S12000019,993,600,132.42,101.24,28761.55,28761.55,2.85,3,78780.07,83298,9889.08,9889.08,141,133.96,312.21,254,254,181.98,1178,1,1340,113.77,109.88,22.44%,183.49,17.74%,7.24,URBAN
S01011039,North Gorebridge,Midlothian,S12000019,1020,597,140.46,149.02,27044.82,28761.55,3.00,3,83298.00,83298,7300.10,9889.08,221,209.97,312.21,324,322,198.86,2881,3,2309,222.36,47.88,21.12%,240.03,8.70%,7.72,URBAN
S01011040,Gorebridge and Middleton,Midlothian,S12000019,724,462,351.00,354.81,28761.55,28761.55,2.00,2,53205.44,52802,9889.08,9889.08,84,73.40,416.98,210,210,215.21,1487,2,1839,49.72,142.57,20.94%,298.40,18.09%,7.71,URBAN
S01011041,Gorebridge and Middleton,Midlothian,S12000019,764,421,386.64,401.36,28761.55,28761.55,2.29,3,63052.05,83298,9889.08,9889.08,57,49.81,416.98,188,186,278.21,1834,2,1136,88.53,197.04,27.91%,382.99,13.43%,8.39,URBAN
S01011042,Gorebridge and Middleton,Midlothian,S12000019,765,523,607.21,563.05,28761.55,28761.55,2.08,2,58839.96,59258,9889.08,9889.08,87,76.02,416.98,263,258,271.13,3666,3,3372,95.50,365.44,17.01%,550.07,5.66%,9.07,URBAN
S01011043,Gorebridge and Middleton,Midlothian,S12000019,693,435,799.22,769.48,28761.55,28761.55,1.00,1,28761.00,28761,9889.08,9889.08,62,54.18,416.98,292,289,243.34,1886,2,2162,94.30,71.51,22.91%,414.37,16.27%,9.10,URBAN
S01011044,Gorebridge and Middleton,Midlothian,S12000019,684,433,1198.51,1210.01,28761.55,28761.55,1.00,1,28761.00,28761,9889.08,9889.08,249,217.59,416.98,81,78,323.43,1198,1,1799,104.33,200.12,23.01%,358.11,14.12%,9.46,URBAN
S01011045,South Speyside and the Cabrach,Moray,S12000020,768,450,3637.10,1865.04,12670.55,21997.60,1.00,1,12669.96,21997,747.13,930.69,38,27.10,902.24,396,337,913.05,3960,3,6155,46.29,0.00,14.62%,78.64,3.44%,28.07,RURAL
S01011046,South Speyside and the Cabrach,Moray,S12000020,879,542,9007.87,9387.44,9737.44,9000.31,1.00,1,9736.98,9000,2467.64,2981.52,29,20.68,902.24,412,374,1641.28,3696,3,6432,37.01,57.72,13.82%,35.26,5.27%,15.25,RURAL
S01011047,South Speyside and the Cabrach,Moray,S12000020,984,595,4760.79,2967.90,7036.07,6761.57,1.00,1,7035.65,6761,3077.51,2981.52,12,8.56,902.24,473,437,1164.69,4800,4,6149,20.81,16.71,15.28%,84.16,2.94%,7.09,URBAN
S01011048,South Speyside and the Cabrach,Moray,S12000020,965,579,555.07,523.69,6761.57,6761.57,1.00,1,6761.00,6761,2981.52,2981.52,109,77.73,902.24,380,357,446.96,3553,3,3829,119.12,17.39,22.45%,245.25,8.41%,11.55,URBAN
S01011049,South Speyside and the Cabrach,Moray,S12000020,660,398,790.79,800.06,6761.57,6761.57,1.00,1,6761.00,6761,2981.52,2981.52,49,34.94,902.24,287,273,327.12,4362,4,3991,96.27,0.00,19.24%,78.14,5.74%,12.01,URBAN
S01011050,North Speyside,Moray,S12000020,780,496,5627.79,4882.49,9000.31,9000.31,1.00,1,9000.00,9000,3419.56,3419.56,15,9.44,714.25,340,323,952.61,4430,4,5790,26.13,0.00,14.92%,*,4.25%,11.61,RURAL
S01011051,North Speyside,Moray,S12000020,1013,624,3850.20,4161.63,12759.85,13867.68,1.00,1,12759.26,13867,2704.89,2570.70,33,20.76,714.25,484,449,1128.43,4526,4,4345,83.84,147.95,17.59%,192.19,5.02%,8.91,URBAN
S01011052,North Speyside,Moray,S12000020,795,437,396.27,393.73,9000.31,9000.31,1.00,1,9000.00,9000,3419.56,3419.56,80,50.34,714.25,321,288,450.19,5205,4,4416,133.36,90.56,18.93%,201.70,10.34%,2.83,URBAN
S01011053,North Speyside,Moray,S12000020,591,349,4470.95,4480.02,13867.68,13867.68,1.00,1,13867.00,13867,2570.70,2570.70,31,19.51,714.25,273,264,204.12,2987,3,3551,115.56,161.14,24.25%,139.04,11.59%,9.26,URBAN
S01011054,North Speyside,Moray,S12000020,521,313,552.39,401.88,13867.68,13867.68,1.00,1,13867.00,13867,2570.70,2570.70,19,11.96,714.25,245,234,828.65,4553,4,4810,66.82,29.02,15.43%,*,5.22%,6.12,RURAL
S01011055,Rural Keith and Strathisla,Moray,S12000020,535,347,5332.56,5750.31,13570.51,13867.68,1.00,1,13570.09,13867,3110.89,2981.52,4,3.18,989.49,262,236,1112.73,4395,4,5773,43.66,0.00,13.12%,77.84,3.18%,11.55,RURAL
S01011056,Rural Keith and Strathisla,Moray,S12000020,729,423,4325.50,4012.19,11774.43,8055.38,1.04,1,11941.04,8055,2116.27,1815.51,9,7.15,989.49,309,278,1570.34,3727,3,5318,46.52,47.42,14.87%,69.73,4.86%,9.85,RURAL
S01011057,Rural Keith and Strathisla,Moray,S12000020,583,364,2464.71,1622.89,32840.97,32840.97,1.00,1,32840.00,32840,3316.24,3316.24,9,7.15,989.49,263,231,576.42,4550,4,5043,99.62,0.00,13.27%,136.94,12.26%,6.10,RURAL
S01011058,Rural Keith and Strathisla,Moray,S12000020,647,418,5102.46,5159.00,15873.65,63.89,1.00,1,15872.73,63,4226.74,5105.78,5,3.97,989.49,294,270,1872.77,3646,3,5606,10.61,24.84,16.15%,*,1.25%,9.36,RURAL
S01011059,Rural Keith and Strathisla,Moray,S12000020,625,419,2999.24,3007.53,63.89,63.89,1.00,1,63.00,63,5105.78,5105.78,12,9.54,989.49,276,244,1285.34,4033,3,6241,21.57,0.00,12.85%,157.97,5.83%,13.00,RURAL
S01011060,Keith and Fife Keith,Moray,S12000020,855,467,249.01,222.80,32840.97,32840.97,3.50,4,55634.65,62148,3316.24,3316.24,90,56.54,366.83,366,340,409.24,4250,4,3629,128.97,81.19,22.16%,345.18,5.28%,2.50,URBAN
S01011061,Keith and Fife Keith,Moray,S12000020,809,478,444.74,389.01,22921.48,20869.17,3.26,4,55253.83,62148,3213.50,3192.24,51,32.04,366.83,419,396,168.60,1921,2,3401,270.50,98.75,18.58%,716.29,12.22%,5.03,URBAN
S01011062,Keith and Fife Keith,Moray,S12000020,851,556,201.98,217.99,20302.04,20869.17,4.00,4,62148.00,62148,2870.90,3192.24,100,62.82,366.83,337,301,274.90,3501,3,4638,76.50,104.91,16.65%,455.22,6.66%,3.47,URBAN
S01011063,Keith and Fife Keith,Moray,S12000020,1087,647,226.94,153.17,11830.08,8055.38,3.92,4,59411.25,62148,2047.06,1312.27,11,6.91,366.83,504,502,270.92,2333,2,3119,91.80,195.29,19.01%,177.30,9.46%,4.73,URBAN
S01011064,Keith and Fife Keith,Moray,S12000020,942,551,284.25,252.74,4988.38,382.91,3.96,4,61329.61,62148,2011.63,1815.51,60,37.69,366.83,443,401,374.97,4341,4,5007,79.84,33.26,16.24%,400.60,3.51%,4.20,URBAN
S01011065,"Cullen, Portknockie, Findochty, Drybridge and Berryh",Moray,S12000020,704,424,3633.43,4231.10,3038.23,3038.23,1.00,1,3038.00,3038,3579.23,3579.23,31,20.35,401.94,298,279,793.44,3990,3,5172,49.16,0.00,16.71%,71.38,5.52%,13.30,URBAN
S01011066,"Cullen, Portknockie, Findochty, Drybridge and Berryh",Moray,S12000020,505,302,400.31,402.34,3038.23,3038.23,1.00,1,3038.00,3038,3579.23,3579.23,25,16.41,401.94,229,222,352.07,5333,4,4901,44.80,34.56,16.15%,139.14,6.94%,12.22,URBAN
S01011067,"Cullen, Portknockie, Findochty, Drybridge and Berryh",Moray,S12000020,546,303,747.48,742.02,3038.23,3038.23,1.00,1,3038.00,3038,3579.23,3579.23,23,15.10,401.94,328,281,174.11,4372,4,5193,38.79,0.00,15.47%,*,5.91%,12.72,URBAN
